year,category,recipient,city,state,province,country,grant_description,award_amt
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Maryland at College Park,College Park,Maryland,,,"To support the extension of LangNet, a Web-based resource for the use of teachers of Spanish and heritage Spanish-speaking students",35000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Massachusetts at Boston,Boston,Massachusetts,,,To assist efforts to establish an institute through which senior academics can undertake policy studies and provide consultation and mentoring,15000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Michigan,Ann Arbor,Michigan,,,To improve the quality and effectiveness of graduate education within selected departments of the humanities and related social sciences while reducing time-to-degree and attrition rates,225000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Michigan,Ann Arbor,Michigan,,,To support the preparation of an inventory of existing digital image management and access systems,27000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Missouri at Columbia,Columbia,Missouri,,,To support a project measuring the pedagogic effectiveness and costs of using technology to improve undergraduate instruction,200000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Natal,Durban,,,South Africa,To support an internship program aimed at developing potential academic staff from groups underrepresented in its faculty,1000000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of North Carolina at Chapel Hill,Chapel Hill,North Carolina,,,To support programs in Latin American studies,800000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Oklahoma,Norman,Oklahoma,,,To support short-term research fellowships in the history of science,49000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Oxford,Oxford,,,United Kingdom,To support the establishment of a Digital Library Resource Development Fund to encourage scholarly research that employs digitized special collections at the University's libraries,775000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Oxford,Oxford,,,United Kingdom,"To support the digitization Aurel Stein's diary of his 1907 trip to Dunhuang, China and its incorporation into the Mellon International Dunhuang Archive",5500
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Pennsylvania,Philadelphia,Pennsylvania,,,To support postdoctoral fellowships at the McNeil Center for Early American Culture,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Pennsylvania,Philadelphia,Pennsylvania,,,To support the renewal of an undergraduate fellowship program,250000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Pennsylvania,Philadelphia,Pennsylvania,,,To improve the quality and effectiveness of graduate education within selected departments of the humanities and related social sciences while reducing time-to-degree and attrition rates,225000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Pennsylvania,Philadelphia,Pennsylvania,,,To support the design and development of a prototype method of integrating archival and artifactual collections,170000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Pennsylvania,Philadelphia,Pennsylvania,,,To support the development of archives for long-term maintenance of electronic journal publications,150000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Puget Sound,Tacoma,Washington,,,To strengthen the relationship between the academic and residential programs,120000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Puget Sound,Tacoma,Washington,,,To support editorial costs associated with The Records of Early English Drama series,100000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Southern California,Los Angeles,California,,,To support the renewal of an undergraduate fellowship program,350000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Southern California,Los Angeles,California,,,To support a project measuring pedagogic effectiveness and costs of technology in improving undergraduate instruction,280000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of the South,Sewanee,Tennessee,,,To strengthen the relationship between the academic and residential programs at liberal arts colleges,71000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of the Witwatersrand,Johannesburg,,,South Africa,To support the Wits Institute for Social and Economic Research,1000000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Toronto,Toronto,,,Canada,To support postdoctoral fellowships at the Pontifical Institute for Medieval Studies,440000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Toronto,Toronto,,,Canada,Toward editorial costs of the Dictionary of Old English,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Virginia,Charlottesville,Virginia,,,To support the establishment of an electronic imprint at the University Press for publication of originally digital scholarly research,640000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Virginia,Charlottesville,Virginia,,,To support research and training in the economics of higher education,200000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Washington,Seattle,Washington,,,To support a Sawyer Seminar on the historical and cultural sources of contemporary developments,110000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Wisconsin at Madison,Madison,Wisconsin,,,To support the development of discipline-based portal services,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,University of Wisconsin at Madison,Madison,Wisconsin,,,To support graduate research workshops in the humanities,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Vanderbilt University,Nashville,Tennessee,,,To support the planning of an electronic publishing project devoted to the history and culture of the Ancient Near East,27000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Vassar College,Poughkeepsie,New York,,,To support developing sustainable strategies for Web development and maintenance and to provide a model for collaboration,280000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Vassar College,Poughkeepsie,New York,,,To support planning a media studies program,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Wake Forest University,Winston-Salem,North Carolina,,,To restructure its foreign study program,45000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Washington and Lee University,Lexington,Virginia,,,To support appointments of junior or intermediate faculty members in humanities or social sciences in advance of key retirements,800000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Washington and Lee University,Lexington,Virginia,,,To support the development of a new resource center for faculty members,390000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Washington University,St. Louis,Missouri,,,To support the renewal of an undergraduate fellowship program,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Washington University,St. Louis,Missouri,,,"To support new ""Mellon Seminars: Issues in Interpretation""",120000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Wellesley College,Wellesley,Massachusetts,,,To support faculty career enhancement,2500000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Wellesley College,Wellesley,Massachusetts,,,To endow a postdoctoral fellowship program,1500000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Wellesley College,Wellesley,Massachusetts,,,To support the renewal of an undergraduate fellowship program,250000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Wellesley College,Wellesley,Massachusetts,,,To strengthen the relationship between the academic and residential programs,98000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Wellesley College,Wellesley,Massachusetts,,,"To develop a pilot program for exchange initiatives between American liberal arts colleges and the University of Cape Town and other South African universities, in collaboration with Smith College",47500
2000,HIGHER EDUCATION AND SCHOLARSHIP,Wesleyan University,Middletown,Connecticut,,,To support appointments of junior or intermediate faculty members in humanities or social sciences in advance of key retirements,800000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Wesleyan University,Middletown,Connecticut,,,To support a postdoctoral fellowship program,500000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Wesleyan University,Middletown,Connecticut,,,To support the renewal of an undergraduate fellowship program,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Wesleyan University,Middletown,Connecticut,,,To support existing environmental studies programs,290000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Wesleyan University,Middletown,Connecticut,,,To strengthen the relationship between academic and residential programs,95000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Western Cape Tertiary Institutions Trust,Cape Town,,,South Africa,To increase the Internet bandwidth available to institutions of higher education in South Africa,1000000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Western Cape Tertiary Institutions Trust,Cape Town,,,South Africa,To support CALICO staff training in library applications software,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Western Interstate Commission,Boulder,Colorado,,,To support the development of tools that assess the costs and benefits of technology-mediated instruction,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Wheaton College,Norton,Massachusetts,,,To support a faculty review of the curriculum,40000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Willamette University,Salem,Oregon,,,"To support the establishment of study abroad centers in Mexico and Cuba, and to explore the possibility of a program in South Africa",33850
2000,HIGHER EDUCATION AND SCHOLARSHIP,Williams College,Williamstown,Massachusetts,,,To support the renewal of an undergraduate fellowship program,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Woodrow Wilson National Fellowship Foundation,Princeton,New Jersey,,,To support the Mellon Fellowships in Humanistic Studies,3000000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Woodrow Wilson National Fellowship Foundation,Princeton,New Jersey,,,To support fellowships for junior faculty from underrepresented groups,2600000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Woodrow Wilson National Fellowship Foundation,Princeton,New Jersey,,,To support core activities and new initiatives,1000000
2000,HIGHER EDUCATION AND SCHOLARSHIP,World Learning Inc.,Brattleboro,Vermont,,,For use by the School for International Training to enhance the measurement of language learning in the College Semester Abroad programs,50000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Xavier University of Louisiana,New Orleans,Louisiana,,,To support existing environmental studies programs,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Xavier University of Louisiana,New Orleans,Louisiana,,,To assist presidents of liberal arts and historically black colleges to meet the goals they have set for their respective institutions,300000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Yale University,New Haven,Connecticut,,,To strengthen doctoral training in Latin American history,500000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Yale University,New Haven,Connecticut,,,To support the renewal of an undergraduate fellowship program,400000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Yale University,New Haven,Connecticut,,,To improve the quality and effectiveness of graduate education within selected departments of the humanities and related social sciences while reducing time-to-degree and attrition rates,225000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Yale University,New Haven,Connecticut,,,To support the development of archives for long-term maintenance of electronic journal publications,150000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Yale University,New Haven,Connecticut,,,To support a study on monographs used in teaching,42000
2000,HIGHER EDUCATION AND SCHOLARSHIP,Yale University,New Haven,Connecticut,,,To support an expanded study of the linguistic applications of JSTOR,35000
2000,POPULATION,Alan Guttmacher Institute,New York,New York,,,For use as a matching endowment,1500000
2000,POPULATION,American University in Cairo,New York,New York,,,To support programs in Middle Eastern population studies,600000
2000,POPULATION,American University in Cairo,New York,New York,,,For use by its Social Research Centre to establish a fund to stabilize the positions of key members of its research staff,600000
2000,POPULATION,American University in Cairo,New York,New York,,,To support research and training programs in the field of forced migration,180000
2000,POPULATION,American University of Beirut,New York,New York,,,To support programs in Middle Eastern population studies,390000
2000,POPULATION,Baylor College of Medicine,Houston,Texas,,,To support junior investigators in reproductive biology and research relevant to contraceptive development,420000
2000,POPULATION,Brookings Institution,Washington,DC,,,To support public education and policy analysis in the field of forced migration,180000
2000,POPULATION,Brown University,Providence,Rhode Island,,,To support research and training programs related to urbanization and migration in developing countries,600000
2000,POPULATION,Carnegie Endowment for International Peace,Washington,DC,,,To support public education and policy analysis in the field of forced migration,240000
2000,POPULATION,Christian Children's Fund,Richmond,Virginia,,,To support an assessment of research and training needs related to psychosocial programs for populations in crisis,60000
2000,POPULATION,Columbia University,New York,New York,,,To establish an endowed professorship in the field of forced migration and health,1000000
2000,POPULATION,Columbia University,New York,New York,,,To support research and training programs in the field of forced migration,900000
2000,POPULATION,Columbia University,New York,New York,,,To support an assessment of research and training needs related to psychosocial programs for populations in crisis,60000
2000,POPULATION,Cooperative for Assistance and,Atlanta,Georgia,,,"To support research and training related to refugee protection and the interrelationships among international law, human rights, and humanitarian assistance",100000
2000,POPULATION,George Mason University,Fairfax,Virginia,,,To enhance the connectivity and use of international computer networks by key organizations in the US and developing countries,600000
2000,POPULATION,Georgetown University,Washington,DC,,,To support research and training programs in the field of forced migration,300000
2000,POPULATION,Harvard University,Cambridge,Massachusetts,,,To support research and training programs in the field of forced migration,450000
2000,POPULATION,Harvard University,Cambridge,Massachusetts,,,To support research relevant to the psychosocial needs of refugees and displaced persons,50000
2000,POPULATION,"International Rescue Committee, Inc.",New York,New York,,,To support its epidemic prevention and preparedness strategy,1000000
2000,POPULATION,"International Rescue Committee, Inc.",New York,New York,,,To support research on educational provisions for displaced populations,200000
2000,POPULATION,"International Rescue Committee, Inc.",New York,New York,,,To support research on refugee children and adolescents,150000
2000,POPULATION,"International Rescue Committee, Inc.",New York,New York,,,For use by the Women's Commission for Refugee Women and Children to support research on refugee children and adolescents,150000
2000,POPULATION,"International Rescue Committee, Inc.",New York,New York,,,"To support research and training related to refugee protection and the interrelationships among international law, human rights, and humanitarian assistance",100000
2000,POPULATION,"International Rescue Committee, Inc.",New York,New York,,,To support an assessment of research and training needs related to psychosocial programs for populations in crisis,60000
2000,POPULATION,"International Rescue Committee, Inc.",New York,New York,,,For use by the Women's Commission for Refugee Women and Children to support a survey of educational programming in emergency settings,50000
2000,POPULATION,International Union for the Scientific,Liege,,,Belgium,To support travel fellowships for the quadrennial conference in Brazil,50000
2000,POPULATION,Johns Hopkins University,Baltimore,Maryland,,,To support research and training programs related to urbanization and migration in developing countries,500000
2000,POPULATION,JSTOR,New York,New York,,,To support the addition of titles in population studies and related fields of sociology,450000
2000,POPULATION,Massachusetts Institute of Technology,Cambridge,Massachusetts,,,To support research and training programs in the field of forced migration,360000
2000,POPULATION,Mercy Corps International,Portland,Oregon,,,To support activities related to staff development and training,100000
2000,POPULATION,Mercy Corps International,Portland,Oregon,,,To support applied research on refugee health,100000
2000,POPULATION,National Academy of Sciences,Washington,DC,,,To support research relevant to population policy in developing countries,450000
2000,POPULATION,Oregon Health Sciences University,Portland,Oregon,,,To support junior investigators in reproductive biology and for research relevant to contraceptive development,420000
2000,POPULATION,Population Council,New York,New York,,,In general support of its Policy Research Division,1500000
2000,POPULATION,Population Council,New York,New York,,,For use as a matching endowment,1000000
2000,POPULATION,Population Council,New York,New York,,,To support programs in Middle Eastern population studies,600000
2000,POPULATION,Population Council,New York,New York,,,To support the Navrongo research program,360000
2000,POPULATION,"Population Reference Bureau, Inc.",Washington,DC,,,To identify emerging significant topics in population research and training,80000
2000,POPULATION,Princeton University,Princeton,New Jersey,,,To support research and training programs related to urbanization and migration in developing countries,600000
2000,POPULATION,"Queen Margaret University College, Edinburgh",Edinburgh,,,Scotland,To support an assessment of research and training needs related to psychosocial programs for populations in crisis,180000
2000,POPULATION,Research Foundation of the State University,Albany,New York,,,To support research and training programs related to urbanization and migration in developing countries,480000
2000,POPULATION,"Save the Children Federation, Inc.",Westport,Connecticut,,,To support an assessment of research and training needs related to psychosocial programs for populations in crisis,60000
2000,POPULATION,Social Science Research Council,New York,New York,,,To support research on educational provisions for displaced populations,200000
2000,POPULATION,Social Science Research Council,New York,New York,,,"To support research and training related to refugee protection and the interrelationships among international law, human rights, and humanitarian assistance",100000
2000,POPULATION,Social Science Research Council,New York,New York,,,To support research on educational provisions for displaced populations,48500
2000,POPULATION,Tufts University,Medford,Massachusetts,,,To endow the position of Director of the Feinstein International Famine Center,1000000
2000,POPULATION,Tufts University,Medford,Massachusetts,,,For use by the Feinstein International Famine Center to support a review of humanitarian practitioner training,30000
2000,POPULATION,Universidad de Costa Rica,San Jose,,,Costa Rica,To support research and training programs in the demography of Central America,245000
2000,POPULATION,Universite de Montreal,Montreal,,,Canada,To support research and training programs related to urbanization and migration in developing countries,450000
2000,POPULATION,University of California at Los Angeles,Los Angeles,California,,,To support research and training programs in the demography of Central America,145000
2000,POPULATION,University of Kansas Medical Center,Kansas City,Kansas,,,To support junior investigators in reproductive biology and research relevant to contraceptive development,420000
2000,POPULATION,University of Kansas Medical Center,Kansas City,Kansas,,,To support junior investigators in reproductive biology and research relevant to contraceptive development,360000
2000,POPULATION,University of Michigan,Ann Arbor,Michigan,,,To support research and training programs related to urbanization and migration in developing countries,600000
2000,POPULATION,University of North Carolina at Chapel Hill,Chapel Hill,North Carolina,,,To support research and training programs related to urbanization and migration in developing countries,600000
2000,POPULATION,University of North Carolina at Chapel Hill,Chapel Hill,North Carolina,,,To support the development of a specialization in Middle Eastern population research and training,450000
2000,POPULATION,University of Oxford,Oxford,,,United Kingdom,To support the development of an electronic portal in the field of forced migration,1000000
2000,POPULATION,University of Oxford,Oxford,,,United Kingdom,To support research on refugee children and adolescents,150000
2000,POPULATION,University of Oxford,Oxford,,,United Kingdom,To support a feasibility study for an electronic portal on forced migration,44000
2000,POPULATION,University of Pennsylvania,Philadelphia,Pennsylvania,,,To support junior investigators in reproductive biology and for research relevant to contraceptive development,360000
2000,POPULATION,University of Pennsylvania,Philadelphia,Pennsylvania,,,To support programs to encourage talented minority students to enroll in doctoral programs in demography,300000
2000,POPULATION,University of Pennsylvania,Philadelphia,Pennsylvania,,,To support research and training programs related to urbanization and migration in developing countries,300000
2000,POPULATION,University of Pennsylvania,Philadelphia,Pennsylvania,,,To support a first-year fellowship program for doctoral training of demographers from developing countries,240000
2000,POPULATION,University of Texas at Austin,Austin,Texas,,,To support research and training programs related to urbanization and migration in developing countries,510000
2000,POPULATION,University of Texas at Austin,Austin,Texas,,,To support programs to encourage talented minority students to enroll in doctoral programs in demography,300000
2000,POPULATION,University of the Witwatersrand,Johannesburg,,,South Africa,"To convene a meeting to foster discussion and informed program planning among South African initiatives in demography, population, and related fields",40000
2000,POPULATION,University of Virginia,Charlottesville,Virginia,,,To support junior investigators in reproductive biology and for research related to contraceptive development,420000
2000,PUBLIC AFFAIRS,Foundation Center,New York,New York,,,To support upgrading and extending the Center's online services,900000
2000,PUBLIC AFFAIRS,Institute for International Economics,Washington,DC,,,To support research on international economic policy issues,825000
2000,PUBLIC AFFAIRS,National Academy of Sciences,Washington,DC,,,To support a panel study that will measure racial discrimination,250000
2000,PUBLIC AFFAIRS,RAND Corporation,Santa Monica,California,,,To support a report on major issues in science and technology,25000
2000,PUBLIC AFFAIRS,Research Triangle Institute,Research Triangle Park,North Carolina,,,To support the Census Public Reaction Study,50000
2000,PUBLIC AFFAIRS,Social Science Research Council,New York,New York,,,"To support pre- and postdoctoral fellowships, workshops, research planning, and programmatic evaluation in the field of international migration",1500000
2000,PUBLIC AFFAIRS,"World Media Foundation, Inc.",Cambridge,Massachusetts,,,To support an expanded Living on Earth Website featuring environmental journalism,40000
2000,CONTRIBUTIONS,Association of Governing Boards of,Washington,DC,,,For general support,35000
2000,CONTRIBUTIONS,"Council on the Environment, Inc.",New York,New York,,,To support its Waste Prevention and Recycling Service,30000
2000,CONTRIBUTIONS,Eviction Intervention Services,New York,New York,,,For general support,40000
2000,CONTRIBUTIONS,Foundation Center,New York,New York,,,For general support,30000
2000,CONTRIBUTIONS,Marymount Manhattan College,New York,New York,,,For general support,30000
2000,CONTRIBUTIONS,Nonprofit Coordinating Committee,New York,New York,,,For general support,35000
